family,dataset,query_id,model,train_n,method,base_bias_direction,base_round0_pred_yes_pct,counter_label,train_counterexample_n,train_counterexample_pct,train_label0_n,train_label1_n,train_label_yes_pct,train_base_error_pct,test_n,test_label_yes_pct,eval_pred_yes_pct,acc_pct,macro_f1_pct,source,delta_macro_f1_vs_random
low_resource_50_250,codebase,q2,Qwen3-0.6B,50,random,pred_yes,99.45149494514949,0,14,28.0,14,36,72.0,30.0,7678,62.1385777546236,75.90518364157333,71.6463,66.8481,experiments/inputs/codebase/query_id_2/qwen06b_full_guide200_seed42_T10_alpha010_train50_random_crc_seed1/seed1/random_50_seed1.train_rows.jsonl,0.0
low_resource_50_250,codebase,q2,Qwen3-0.6B,50,crc-error-mass,pred_yes,99.45149494514949,0,13,26.0,13,37,74.0,26.0,7678,62.1385777546236,68.70278718416255,71.8677,68.9105,experiments/inputs/codebase/query_id_2/qwen06b_full_guide200_seed42_T10_alpha010_train50_random_crc_seed1/seed1/crc_error_mass_50_seed1.train_rows.jsonl,2.0623999999999967
low_resource_50_250,codebase,q3,Qwen3-0.6B,250,random,pred_yes,99.8816949881695,0,188,75.2,188,62,24.8,74.8,7670,25.840938722294656,5.814863102998697,76.5841,56.0601,experiments/inputs/codebase/query_id_3/qwen06b_full_guide200_seed42_T10_alpha010_train250_random_crc_seed1/seed1/random_250_seed1.train_rows.jsonl,0.0
low_resource_50_250,codebase,q3,Qwen3-0.6B,250,crc-error-mass,pred_yes,99.8816949881695,0,192,76.8,192,58,23.2,76.0,7670,25.840938722294656,2.5814863102998697,75.9322,50.6469,experiments/inputs/codebase/query_id_3/qwen06b_full_guide200_seed42_T10_alpha010_train250_random_crc_seed1/seed1/crc_error_mass_250_seed1.train_rows.jsonl,-5.413199999999996
low_resource_50_250,codebase,q3,Qwen3-0.6B,125,random,pred_yes,99.8816949881695,0,94,75.2,94,31,24.8,74.4,7670,25.840938722294656,0.20860495436766624,74.0287,42.685,experiments/inputs/codebase/query_id_3/qwen06b_full_guide200_seed42_T10_alpha010_train125_random_crc_seed1/seed1/random_125_seed1.train_rows.jsonl,0.0
low_resource_50_250,codebase,q3,Qwen3-0.6B,125,crc-error-mass,pred_yes,99.8816949881695,0,98,78.4,98,27,21.6,78.4,7670,25.840938722294656,0.05215123859191656,74.1069,42.564,experiments/inputs/codebase/query_id_3/qwen06b_full_guide200_seed42_T10_alpha010_train125_random_crc_seed1/seed1/crc_error_mass_125_seed1.train_rows.jsonl,-0.12100000000000222
low_resource_50_250,codebase,q3,Qwen3-0.6B,50,random,pred_yes,99.8816949881695,0,42,84.0,42,8,16.0,84.0,7670,25.840938722294656,0.01303780964797914,74.146,42.5769,experiments/inputs/codebase/query_id_3/qwen06b_full_guide200_seed42_T10_alpha010_train50_random_crc_seed1/seed1/random_50_seed1.train_rows.jsonl,0.0
low_resource_50_250,codebase,q3,Qwen3-0.6B,50,crc-error-mass,pred_yes,99.8816949881695,0,38,76.0,38,12,24.0,76.0,7670,25.840938722294656,0.01303780964797914,74.146,42.5769,experiments/inputs/codebase/query_id_3/qwen06b_full_guide200_seed42_T10_alpha010_train50_random_crc_seed1/seed1/crc_error_mass_50_seed1.train_rows.jsonl,0.0
low_resource_50_250,twitter_hate,q1,Qwen3-0.6B,250,random,pred_yes,100.0,0,47,18.8,47,203,81.2,18.8,21419,83.85078668471917,90.26098323918016,87.1936,71.5884,experiments/inputs/twitter_hate/qwen06b_full_guide500_seed42_T10_alpha010_train250_random_crc_seed1/seed1/random_250_seed1.train_rows.jsonl,0.0
low_resource_50_250,twitter_hate,q1,Qwen3-0.6B,250,crc-error-mass,pred_yes,100.0,0,69,27.6,69,181,72.4,27.6,21419,83.85078668471917,87.46906951771791,87.0162,73.5751,experiments/inputs/twitter_hate/qwen06b_full_guide500_seed42_T10_alpha010_train250_random_crc_seed1/seed1/crc_error_mass_250_seed1.train_rows.jsonl,1.9867000000000132
